AreaCode,AreaName,AreaType
S01006959,Ellon East - 02,Data Zones
S01006949,Newmachar and Fintray - 04,Data Zones
S01006950,Newmachar and Fintray - 05,Data Zones
S01006947,Newmachar and Fintray - 02,Data Zones
S01006948,Newmachar and Fintray - 03,Data Zones
S01006952,Balmedie and Potterton - 01,Data Zones
S01006953,Balmedie and Potterton - 02,Data Zones
S01006951,Newmachar and Fintray - 06,Data Zones
S01006912,Durno-Chapel of Garioch - 04,Data Zones
S01006913,Durno-Chapel of Garioch - 05,Data Zones
S01006910,Durno-Chapel of Garioch - 02,Data Zones
S01006911,Durno-Chapel of Garioch - 03,Data Zones
S01006916,Kintore - 01,Data Zones
S01006917,Kintore - 02,Data Zones
S01006914,Durno-Chapel of Garioch - 06,Data Zones
S01006915,Durno-Chapel of Garioch - 07,Data Zones
S01006905,Inverurie South - 04,Data Zones
S01006906,Inverurie South - 05,Data Zones
S01006903,Inverurie South - 02,Data Zones
S01006904,Inverurie South - 03,Data Zones
S01006908,Inverurie South - 07,Data Zones
S01006909,Durno-Chapel of Garioch - 01,Data Zones
S01006907,Inverurie South - 06,Data Zones
S01006927,Blackburn - 03,Data Zones
S01006928,Blackburn - 04,Data Zones
S01006925,Blackburn - 01,Data Zones
S01006926,Blackburn - 02,Data Zones
S01006930,Westhill North and South - 02,Data Zones
S01006931,Westhill North and South - 03,Data Zones
S01006929,Westhill North and South - 01,Data Zones
S01006920,Kintore - 05,Data Zones
S01006921,Kintore - 06,Data Zones
S01006918,Kintore - 03,Data Zones
S01006919,Kintore - 04,Data Zones
S01006923,Kintore - 08,Data Zones
S01006924,Kintore - 09,Data Zones
S01006922,Kintore - 07,Data Zones
S01007001,"Insch, Oyne and Ythanwells - 05",Data Zones
S01007002,Clashindarroch - 01,Data Zones
S01006999,"Insch, Oyne and Ythanwells - 03",Data Zones
S01007000,"Insch, Oyne and Ythanwells - 04",Data Zones
S01007005,Clashindarroch - 04,Data Zones
S01007006,Clashindarroch - 05,Data Zones
S01007003,Clashindarroch - 02,Data Zones
S01007004,Clashindarroch - 03,Data Zones
S01006994,Fyvie-Rothie - 04,Data Zones
S01006995,Fyvie-Rothie - 05,Data Zones
S01006992,Fyvie-Rothie - 02,Data Zones
S01006993,Fyvie-Rothie - 03,Data Zones
S01006997,"Insch, Oyne and Ythanwells - 01",Data Zones
S01006998,"Insch, Oyne and Ythanwells - 02",Data Zones
S01006996,Fyvie-Rothie - 06,Data Zones
S01007016,Auchterless and Monquhitter - 04,Data Zones
S01007017,Turriff - 01,Data Zones
S01007014,Auchterless and Monquhitter - 02,Data Zones
S01007015,Auchterless and Monquhitter - 03,Data Zones
S01007020,Turriff - 04,Data Zones
S01007021,Turriff - 05,Data Zones
S01007018,Turriff - 02,Data Zones
S01007019,Turriff - 03,Data Zones
S01007009,Huntly - 02,Data Zones
S01007010,Huntly - 03,Data Zones
S01007007,Clashindarroch - 06,Data Zones
S01007008,Huntly - 01,Data Zones
S01007012,Huntly - 05,Data Zones
S01007013,Auchterless and Monquhitter - 01,Data Zones
S01007011,Huntly - 04,Data Zones
S01006972,Ythanside - 01,Data Zones
S01006973,Ythanside - 02,Data Zones
S01006970,Ellon West - 06,Data Zones
S01006971,Ellon West - 07,Data Zones
S01006976,Ythanside - 05,Data Zones
S01006977,Ythanside - 06,Data Zones
S01006974,Ythanside - 03,Data Zones
S01006975,Ythanside - 04,Data Zones
S01006964,Ellon East - 07,Data Zones
S01006966,Ellon West - 02,Data Zones
S01006962,Ellon East - 05,Data Zones
S01006963,Ellon East - 06,Data Zones
S01006968,Ellon West - 04,Data Zones
S01006969,Ellon West - 05,Data Zones
S01006967,Ellon West - 03,Data Zones
S01006987,Barrahill - 03,Data Zones
S01006988,Barrahill - 04,Data Zones
S01006985,Barrahill - 01,Data Zones
S01006986,Barrahill - 02,Data Zones
S01006990,Barrahill - 06,Data Zones
S01006991,Fyvie-Rothie - 01,Data Zones
S01006989,Barrahill - 05,Data Zones
S01006980,Ythsie - 03,Data Zones
S01006981,Ythsie - 04,Data Zones
S01006978,Ythsie - 01,Data Zones
S01006979,Ythsie - 02,Data Zones
S01006983,Ythsie - 06,Data Zones
S01006984,Ythsie - 07,Data Zones
S01006982,Ythsie - 05,Data Zones
S01007302,Benderloch Trail - 02,Data Zones
S01007303,Benderloch Trail - 03,Data Zones
S01007300,Oban North - 04,Data Zones
S01007301,Benderloch Trail - 01,Data Zones
S01007306,Benderloch Trail - 06,Data Zones
S01007307,Benderloch Trail - 07,Data Zones
S01007304,Benderloch Trail - 04,Data Zones
S01007305,Benderloch Trail - 05,Data Zones
S01007295,Oban South - 07,Data Zones
S01007296,Oban South - 08,Data Zones
S01007293,Oban South - 05,Data Zones
S01007294,Oban South - 06,Data Zones
S01007298,Oban North - 02,Data Zones
S01007299,Oban North - 03,Data Zones
S01007297,Oban North - 01,Data Zones
S01007317,Greater Lochgilphead - 03,Data Zones
S01007318,Greater Lochgilphead - 04,Data Zones
S01007315,Greater Lochgilphead - 01,Data Zones
S01007316,Greater Lochgilphead - 02,Data Zones
S01007321,Knapdale - 02,Data Zones
S01007322,Knapdale - 03,Data Zones
S01007319,Greater Lochgilphead - 05,Data Zones
S01007320,Knapdale - 01,Data Zones
S01007310,Loch Awe - 03,Data Zones
S01007311,Mid Argyll - 01,Data Zones
S01007308,Loch Awe - 01,Data Zones
S01007309,Loch Awe - 02,Data Zones
S01007313,Mid Argyll - 03,Data Zones
S01007314,Mid Argyll - 04,Data Zones
S01007312,Mid Argyll - 02,Data Zones
S01007273,Kirriemuir - 03,Data Zones
S01007274,Kirriemuir - 04,Data Zones
S01007271,Kirriemuir - 01,Data Zones
S01007272,Kirriemuir - 02,Data Zones
S01007277,Kirriemuir - 07,Data Zones
S01007278,Kirriemuir - 08,Data Zones
S01007275,Kirriemuir - 05,Data Zones
S01007276,Kirriemuir - 06,Data Zones
S01007266,Kirriemuir Landward - 01,Data Zones
S01007267,Kirriemuir Landward - 02,Data Zones
S01007264,Forfar West - 05,Data Zones
S01007265,Forfar West - 06,Data Zones
S01007269,Kirriemuir Landward - 04,Data Zones
S01007270,Kirriemuir Landward - 05,Data Zones
S01007268,Kirriemuir Landward - 03,Data Zones
S01007288,"Mull, Iona, Coll and Tiree - 05",Data Zones
S01007289,Oban South - 01,Data Zones
S01007286,"Mull, Iona, Coll and Tiree - 03",Data Zones
S01007287,"Mull, Iona, Coll and Tiree - 04",Data Zones
S01007291,Oban South - 03,Data Zones
S01007292,Oban South - 04,Data Zones
S01007290,Oban South - 02,Data Zones
S01007281,Angus Glens - 03,Data Zones
S01007282,Angus Glens - 04,Data Zones
S01007279,Angus Glens - 01,Data Zones
S01007280,Angus Glens - 02,Data Zones
S01007284,"Mull, Iona, Coll and Tiree - 01",Data Zones
S01007285,"Mull, Iona, Coll and Tiree - 02",Data Zones
S01007283,Angus Glens - 05,Data Zones
S01007365,Hunter's Quay - 07,Data Zones
S01007366,Dunoon - 01,Data Zones
S01007362,Hunter's Quay - 04,Data Zones
S01007363,Hunter's Quay - 05,Data Zones
S01007369,Dunoon - 04,Data Zones
S01007370,Dunoon - 05,Data Zones
S01007367,Dunoon - 02,Data Zones
S01007368,Dunoon - 03,Data Zones
S01007357,Cowal North - 03,Data Zones
S01007358,Cowal North - 04,Data Zones
S01007355,Cowal North - 01,Data Zones
S01007356,Cowal North - 02,Data Zones
S01007360,Hunter's Quay - 02,Data Zones
S01007361,Hunter's Quay - 03,Data Zones
S01007359,Hunter's Quay - 01,Data Zones
S01007380,Garelochhead - 08,Data Zones
S01007381,Helensburgh West and Rhu - 01,Data Zones
S01007378,Garelochhead - 06,Data Zones
S01007379,Garelochhead - 07,Data Zones
S01007384,Helensburgh West and Rhu - 04,Data Zones
S01007385,Helensburgh West and Rhu - 05,Data Zones
S01007382,Helensburgh West and Rhu - 02,Data Zones
S01007383,Helensburgh West and Rhu - 03,Data Zones
S01007373,Garelochhead - 01,Data Zones
S01007374,Garelochhead - 02,Data Zones
S01007371,Dunoon - 06,Data Zones
S01007372,Dunoon - 07,Data Zones
S01007376,Garelochhead - 04,Data Zones
S01007377,Garelochhead - 05,Data Zones
S01007375,Garelochhead - 03,Data Zones
S01007333,Campbeltown - 01,Data Zones
S01007334,Campbeltown - 02,Data Zones
S01007330,Kintyre Trail - 02,Data Zones
S01007331,Kintyre Trail - 03,Data Zones
S01007337,Campbeltown - 05,Data Zones
S01007338,Campbeltown - 06,Data Zones
S01007335,Campbeltown - 03,Data Zones
S01007336,Campbeltown - 04,Data Zones
S01007325,Whisky Isles - 02,Data Zones
S01007326,Whisky Isles - 03,Data Zones
S01007323,Knapdale - 04,Data Zones
S01007324,Whisky Isles - 01,Data Zones
S01007328,Whisky Isles - 05,Data Zones
S01007329,Kintyre Trail - 01,Data Zones
S01007327,Whisky Isles - 04,Data Zones
S01007350,Rothesay Town - 07,Data Zones
S01007351,Cowal South - 01,Data Zones
S01007347,Rothesay Town - 04,Data Zones
S01007349,Rothesay Town - 06,Data Zones
S01007353,Cowal South - 03,Data Zones
S01007354,Cowal South - 04,Data Zones
S01007352,Cowal South - 02,Data Zones
S01007341,Bute - 02,Data Zones
S01007342,Bute - 03,Data Zones
S01007339,Campbeltown - 07,Data Zones
S01007340,Bute - 01,Data Zones
S01007344,Rothesay Town - 01,Data Zones
S01007346,Rothesay Town - 03,Data Zones
S01007343,Bute - 04,Data Zones
S01007182,Arbroath Keptie - 03,Data Zones
S01007183,Arbroath Keptie - 04,Data Zones
S01007180,Arbroath Keptie - 01,Data Zones
S01007181,Arbroath Keptie - 02,Data Zones
S01007186,Arbroath Harbour - 03,Data Zones
S01007187,Arbroath Harbour - 04,Data Zones
S01007184,Arbroath Harbour - 01,Data Zones
S01007185,Arbroath Harbour - 02,Data Zones
S01007175,Arbroath Kirkton - 03,Data Zones
S01007176,Arbroath Kirkton - 04,Data Zones
S01007173,Arbroath Kirkton - 01,Data Zones
S01007174,Arbroath Kirkton - 02,Data Zones
S01007178,Arbroath Kirkton - 06,Data Zones
S01007179,Arbroath Kirkton - 07,Data Zones
S01007177,Arbroath Kirkton - 05,Data Zones
S01007200,Arbroath Warddykes - 04,Data Zones
S01007201,Arbroath Warddykes - 05,Data Zones
S01007198,Arbroath Warddykes - 02,Data Zones
S01007199,Arbroath Warddykes - 03,Data Zones
S01007204,Lunan - 01,Data Zones
S01007205,Lunan - 02,Data Zones
S01007202,Arbroath Warddykes - 06,Data Zones
S01007203,Arbroath Warddykes - 07,Data Zones
S01007190,Arbroath Cliffburn - 01,Data Zones
S01007191,Arbroath Cliffburn - 02,Data Zones
S01007188,Arbroath Harbour - 05,Data Zones
S01007189,Arbroath Harbour - 06,Data Zones
S01007193,Arbroath Cliffburn - 04,Data Zones
S01007196,Arbroath Cliffburn - 07,Data Zones
S01007192,Arbroath Cliffburn - 03,Data Zones
S01007153,Monifieth East - 05,Data Zones
S01007154,Monifieth East - 06,Data Zones
S01007151,Monifieth East - 03,Data Zones
S01007152,Monifieth East - 04,Data Zones
S01007157,Carnoustie West - 02,Data Zones
S01007158,Carnoustie West - 03,Data Zones
S01007155,Monifieth East - 07,Data Zones
S01007156,Carnoustie West - 01,Data Zones
S01007146,Monifieth West - 02,Data Zones
S01007147,Monifieth West - 03,Data Zones
S01007143,Monikie - 07,Data Zones
S01007145,Monifieth West - 01,Data Zones
S01007149,Monifieth East - 01,Data Zones
S01007150,Monifieth East - 02,Data Zones
S01007148,Monifieth West - 04,Data Zones
S01007168,Carnoustie East - 06,Data Zones
S01007169,Carnoustie East - 07,Data Zones
S01007166,Carnoustie East - 04,Data Zones
S01007167,Carnoustie East - 05,Data Zones
S01007171,Arbroath Landward - 02,Data Zones
S01007172,Arbroath Landward - 03,Data Zones
S01007170,Arbroath Landward - 01,Data Zones
S01007161,Carnoustie West - 06,Data Zones
S01007162,Carnoustie West - 07,Data Zones
S01007159,Carnoustie West - 04,Data Zones
S01007160,Carnoustie West - 05,Data Zones
S01007164,Carnoustie East - 02,Data Zones
S01007165,Carnoustie East - 03,Data Zones
S01007163,Carnoustie East - 01,Data Zones
S01007244,Letham and Glamis - 05,Data Zones
S01007245,Letham and Glamis - 06,Data Zones
S01007242,Letham and Glamis - 03,Data Zones
S01007243,Letham and Glamis - 04,Data Zones
S01007248,Forfar East - 01,Data Zones
S01007249,Forfar East - 02,Data Zones
S01007246,Letham and Glamis - 07,Data Zones
S01007247,Letham and Glamis - 08,Data Zones
S01007237,Brechin West - 03,Data Zones
S01007238,Brechin West - 04,Data Zones
S01007235,Brechin West - 01,Data Zones
S01007236,Brechin West - 02,Data Zones
S01007240,Letham and Glamis - 01,Data Zones
S01007241,Letham and Glamis - 02,Data Zones
S01007239,Brechin West - 05,Data Zones
S01007259,Forfar Central - 06,Data Zones
S01007260,Forfar West - 01,Data Zones
S01007257,Forfar Central - 04,Data Zones
S01007258,Forfar Central - 05,Data Zones
S01007262,Forfar West - 03,Data Zones
S01007263,Forfar West - 04,Data Zones
S01007261,Forfar West - 02,Data Zones
S01007252,Forfar East - 05,Data Zones
S01007253,Forfar East - 06,Data Zones
S01007250,Forfar East - 03,Data Zones
S01007251,Forfar East - 04,Data Zones
S01007255,Forfar Central - 02,Data Zones
S01007256,Forfar Central - 03,Data Zones
S01007254,Forfar Central - 01,Data Zones
S01007215,Montrose North - 01,Data Zones
S01007216,Montrose North - 02,Data Zones
S01007213,Montrose South - 06,Data Zones
S01007214,Montrose South - 07,Data Zones
S01007219,Montrose North - 05,Data Zones
S01007220,Montrose North - 06,Data Zones
S01007217,Montrose North - 03,Data Zones
S01007218,Montrose North - 04,Data Zones
S01007208,Montrose South - 01,Data Zones
S01007209,Montrose South - 02,Data Zones
S01007206,Lunan - 03,Data Zones
S01007207,Lunan - 04,Data Zones
S01007211,Montrose South - 04,Data Zones
S01007212,Montrose South - 05,Data Zones
S01007210,Montrose South - 03,Data Zones
S01007230,Brechin East - 01,Data Zones
S01007231,Brechin East - 02,Data Zones
S01007228,Friockheim - 03,Data Zones
S01007229,Friockheim - 04,Data Zones
S01007233,Brechin East - 04,Data Zones
S01007234,Brechin East - 05,Data Zones
S01007232,Brechin East - 03,Data Zones
S01007223,Hillside - 03,Data Zones
S01007224,Hillside - 04,Data Zones
S01007221,Hillside - 01,Data Zones
S01007222,Hillside - 02,Data Zones
S01007226,Friockheim - 01,Data Zones
S01007227,Friockheim - 02,Data Zones
S01007225,Hillside - 05,Data Zones
S01012680,Stonehouse - 05,Data Zones
S01012681,Stonehouse - 06,Data Zones
S01012678,Stonehouse - 03,Data Zones
S01012679,Stonehouse - 04,Data Zones
S01012684,Strathaven South - 01,Data Zones
S01012685,Strathaven South - 02,Data Zones
S01012682,Stonehouse - 07,Data Zones
S01012683,Stonehouse - 08,Data Zones
S01012670,Hareleeshill - 06,Data Zones
S01012671,Strutherhill - 01,Data Zones
S01012668,Hareleeshill - 04,Data Zones
S01012669,Hareleeshill - 05,Data Zones
S01012674,Strutherhill - 04,Data Zones
S01012676,Stonehouse - 01,Data Zones
S01012673,Strutherhill - 03,Data Zones
S01012695,"Chapelton, Glengavel and Sandford - 01",Data Zones
S01012696,"Chapelton, Glengavel and Sandford - 02",Data Zones
S01012693,Strathaven North - 03,Data Zones
S01012694,Strathaven North - 04,Data Zones
S01012699,"Glassford, Quarter and Allanton - 01",Data Zones
S01012700,"Glassford, Quarter and Allanton - 02",Data Zones
S01012697,"Chapelton, Glengavel and Sandford - 03",Data Zones
S01012698,"Chapelton, Glengavel and Sandford - 04",Data Zones
S01012688,Strathaven South - 05,Data Zones
S01012689,Strathaven South - 06,Data Zones
S01012686,Strathaven South - 03,Data Zones
S01012687,Strathaven South - 04,Data Zones
S01012691,Strathaven North - 01,Data Zones
S01012692,Strathaven North - 02,Data Zones
S01012690,Strathaven South - 07,Data Zones
S01012648,Kirkmuirhill and Blackwood - 02,Data Zones
S01012649,Kirkmuirhill and Blackwood - 03,Data Zones
S01012646,Lesmahagow - 05,Data Zones
S01012647,Kirkmuirhill and Blackwood - 01,Data Zones
S01012652,Kirkmuirhill and Blackwood - 06,Data Zones
S01012653,Ashgill and Netherburn - 01,Data Zones
S01012650,Kirkmuirhill and Blackwood - 04,Data Zones
S01012651,Kirkmuirhill and Blackwood - 05,Data Zones
S01012639,"Douglas, Coalburn and Rigside - 03",Data Zones
S01012640,"Douglas, Coalburn and Rigside - 04",Data Zones
S01012637,"Douglas, Coalburn and Rigside - 01",Data Zones
S01012638,"Douglas, Coalburn and Rigside - 02",Data Zones
S01012644,Lesmahagow - 03,Data Zones
S01012645,Lesmahagow - 04,Data Zones
S01012641,"Douglas, Coalburn and Rigside - 05",Data Zones
S01012663,"Larkhall Central, Raploch, Millheugh and Burnhead - 04",Data Zones
S01012664,"Larkhall Central, Raploch, Millheugh and Burnhead - 05",Data Zones
S01012661,"Larkhall Central, Raploch, Millheugh and Burnhead - 02",Data Zones
S01012662,"Larkhall Central, Raploch, Millheugh and Burnhead - 03",Data Zones
S01012666,Hareleeshill - 02,Data Zones
S01012667,Hareleeshill - 03,Data Zones
S01012665,Hareleeshill - 01,Data Zones
S01012656,Merryton and Meadowhill - 01,Data Zones
S01012657,Merryton and Meadowhill - 02,Data Zones
S01012654,Ashgill and Netherburn - 02,Data Zones
S01012655,Ashgill and Netherburn - 03,Data Zones
S01012659,Merryton and Meadowhill - 04,Data Zones
S01012660,"Larkhall Central, Raploch, Millheugh and Burnhead - 01",Data Zones
S01012658,Merryton and Meadowhill - 03,Data Zones
S01012740,Little Earnock - 08,Data Zones
S01012741,Earnock - 01,Data Zones
S01012738,Little Earnock - 06,Data Zones
S01012739,Little Earnock - 07,Data Zones
S01012744,Earnock - 04,Data Zones
S01012745,Earnock - 05,Data Zones
S01012742,Earnock - 02,Data Zones
S01012743,Earnock - 03,Data Zones
S01012733,Little Earnock - 01,Data Zones
S01012734,Little Earnock - 02,Data Zones
S01012731,Woodhead and Meikle Earnock - 03,Data Zones
S01012732,Woodhead and Meikle Earnock - 04,Data Zones
S01012736,Little Earnock - 04,Data Zones
S01012737,Little Earnock - 05,Data Zones
S01012735,Little Earnock - 03,Data Zones
S01012755,High Blantyre - 04,Data Zones
S01012756,High Blantyre - 05,Data Zones
S01012753,High Blantyre - 02,Data Zones
S01012754,High Blantyre - 03,Data Zones
S01012759,Blantyre South and Wheatlands - 01,Data Zones
S01012760,Blantyre South and Wheatlands - 02,Data Zones
S01012757,High Blantyre - 06,Data Zones
S01012758,High Blantyre - 07,Data Zones
S01012748,Hillhouse - 02,Data Zones
S01012749,Hillhouse - 03,Data Zones
S01012746,Earnock - 06,Data Zones
S01012747,Hillhouse - 01,Data Zones
S01012751,Hillhouse - 05,Data Zones
S01012752,High Blantyre - 01,Data Zones
S01012750,Hillhouse - 04,Data Zones
S01012710,Low Waters - 03,Data Zones
S01012711,Low Waters - 04,Data Zones
S01012708,Low Waters - 01,Data Zones
S01012709,Low Waters - 02,Data Zones
S01012714,Silvertonhill - 03,Data Zones
S01012715,Silvertonhill - 04,Data Zones
S01012712,Silvertonhill - 01,Data Zones
S01012713,Silvertonhill - 02,Data Zones
S01012703,Eddlewood - 01,Data Zones
S01012704,Eddlewood - 02,Data Zones
S01012701,"Glassford, Quarter and Allanton - 03",Data Zones
S01012702,"Glassford, Quarter and Allanton - 04",Data Zones
S01012706,Eddlewood - 04,Data Zones
S01012707,Eddlewood - 05,Data Zones
S01012705,Eddlewood - 03,Data Zones
S01012725,Laighstonehall - 05,Data Zones
S01012726,Fairhill - 01,Data Zones
S01012723,Laighstonehall - 03,Data Zones
S01012724,Laighstonehall - 04,Data Zones
S01012729,Woodhead and Meikle Earnock - 01,Data Zones
S01012730,Woodhead and Meikle Earnock - 02,Data Zones
S01012727,Fairhill - 02,Data Zones
S01012718,Hamilton Centre and Low Parks - 03,Data Zones
S01012719,Hamilton Centre and Low Parks - 04,Data Zones
S01012716,Hamilton Centre and Low Parks - 01,Data Zones
S01012717,Hamilton Centre and Low Parks - 02,Data Zones
S01012721,Laighstonehall - 01,Data Zones
S01012722,Laighstonehall - 02,Data Zones
S01012720,Hamilton Centre and Low Parks - 05,Data Zones
S01012554,Muirhead - 06,Data Zones
S01012555,Muirhead - 07,Data Zones
S01012552,Muirhead - 04,Data Zones
S01012553,Muirhead - 05,Data Zones
S01012558,Barassie - 02,Data Zones
S01012559,Barassie - 03,Data Zones
S01012556,Muirhead - 08,Data Zones
S01012557,Barassie - 01,Data Zones
S01012547,"Dundonald, Loans and Symington - 06",Data Zones
S01012548,"Dundonald, Loans and Symington - 07",Data Zones
S01012545,"Dundonald, Loans and Symington - 04",Data Zones
S01012546,"Dundonald, Loans and Symington - 05",Data Zones
S01012550,Muirhead - 02,Data Zones
S01012551,Muirhead - 03,Data Zones
S01012549,Muirhead - 01,Data Zones
S01012569,Troon - 07,Data Zones
S01012571,Clydesdale South - 02,Data Zones
S01012567,Troon - 05,Data Zones
S01012568,Troon - 06,Data Zones
S01012574,"Biggar, Symington, Thankerton and Dolphinton - 01",Data Zones
S01012575,"Biggar, Symington, Thankerton and Dolphinton - 02",Data Zones
S01012572,Clydesdale South - 03,Data Zones
S01012573,Clydesdale South - 04,Data Zones
S01012562,Barassie - 06,Data Zones
S01012563,Troon - 01,Data Zones
S01012560,Barassie - 04,Data Zones
S01012561,Barassie - 05,Data Zones
S01012565,Troon - 03,Data Zones
S01012566,Troon - 04,Data Zones
S01012564,Troon - 02,Data Zones
S01012525,Prestwick East - 02,Data Zones
S01012526,Prestwick East - 03,Data Zones
S01012523,Prestwick West - 06,Data Zones
S01012524,Prestwick East - 01,Data Zones
S01012529,Prestwick East - 06,Data Zones
S01012530,Prestwick East - 07,Data Zones
S01012527,Prestwick East - 04,Data Zones
S01012528,Prestwick East - 05,Data Zones
S01012518,Prestwick West - 01,Data Zones
S01012519,Prestwick West - 02,Data Zones
S01012516,Heathfield - 05,Data Zones
S01012517,Heathfield - 06,Data Zones
S01012521,Prestwick West - 04,Data Zones
S01012522,Prestwick West - 05,Data Zones
S01012520,Prestwick West - 03,Data Zones
S01012540,"Annbank, Mossblown and Tarbolton - the Coalfields - 06",Data Zones
S01012541,"Annbank, Mossblown and Tarbolton - the Coalfields - 07",Data Zones
S01012538,"Annbank, Mossblown and Tarbolton - the Coalfields - 04",Data Zones
S01012539,"Annbank, Mossblown and Tarbolton - the Coalfields - 05",Data Zones
S01012543,"Dundonald, Loans and Symington - 02",Data Zones
S01012544,"Dundonald, Loans and Symington - 03",Data Zones
S01012542,"Dundonald, Loans and Symington - 01",Data Zones
S01012533,Prestwick Airport and Monkton - 03,Data Zones
S01012534,Prestwick Airport and Monkton - 04,Data Zones
S01012531,Prestwick Airport and Monkton - 01,Data Zones
S01012532,Prestwick Airport and Monkton - 02,Data Zones
S01012536,"Annbank, Mossblown and Tarbolton - the Coalfields - 02",Data Zones
S01012537,"Annbank, Mossblown and Tarbolton - the Coalfields - 03",Data Zones
S01012535,"Annbank, Mossblown and Tarbolton - the Coalfields - 01",Data Zones
S01012615,"Crossford, Braidwood and Yieldshields - 01",Data Zones
S01012616,"Crossford, Braidwood and Yieldshields - 02",Data Zones
S01012613,Carluke South - 03,Data Zones
S01012614,Carluke South - 04,Data Zones
S01012619,Lanark North West - 01,Data Zones
S01012620,Lanark North West - 02,Data Zones
S01012617,"Crossford, Braidwood and Yieldshields - 03",Data Zones
S01012618,"Crossford, Braidwood and Yieldshields - 04",Data Zones
S01012608,Carluke East - 03,Data Zones
S01012609,Carluke East - 04,Data Zones
S01012606,Carluke East - 01,Data Zones
S01012607,Carluke East - 02,Data Zones
S01012611,Carluke South - 01,Data Zones
S01012612,Carluke South - 02,Data Zones
S01012610,Carluke East - 05,Data Zones
S01012631,Lanark South - 05,Data Zones
S01012632,Hazelbank and Kirkfieldbank - 01,Data Zones
S01012629,Lanark South - 03,Data Zones
S01012630,Lanark South - 04,Data Zones
S01012635,Hazelbank and Kirkfieldbank - 04,Data Zones
S01012636,Hazelbank and Kirkfieldbank - 05,Data Zones
S01012633,Hazelbank and Kirkfieldbank - 02,Data Zones
S01012634,Hazelbank and Kirkfieldbank - 03,Data Zones
S01012623,Lanark North East - 01,Data Zones
S01012624,Lanark North East - 02,Data Zones
S01012621,Lanark North West - 03,Data Zones
S01012622,Lanark North West - 04,Data Zones
S01012627,Lanark South - 01,Data Zones
S01012628,Lanark South - 02,Data Zones
S01012626,Lanark North East - 04,Data Zones
S01012586,"Carstairs, Carstairs Junction and Carnwath - 06",Data Zones
S01012587,"Forth, Braehead and Auchengray - 01",Data Zones
S01012584,"Carstairs, Carstairs Junction and Carnwath - 04",Data Zones
S01012585,"Carstairs, Carstairs Junction and Carnwath - 05",Data Zones
S01012590,"Forth, Braehead and Auchengray - 04",Data Zones
S01012591,"Forth, Braehead and Auchengray - 05",Data Zones
S01012588,"Forth, Braehead and Auchengray - 02",Data Zones
S01012589,"Forth, Braehead and Auchengray - 03",Data Zones
S01012578,"Biggar, Symington, Thankerton and Dolphinton - 05",Data Zones
S01012580,"Biggar, Symington, Thankerton and Dolphinton - 07",Data Zones
S01012576,"Biggar, Symington, Thankerton and Dolphinton - 03",Data Zones
S01012577,"Biggar, Symington, Thankerton and Dolphinton - 04",Data Zones
S01012582,"Carstairs, Carstairs Junction and Carnwath - 02",Data Zones
S01012583,"Carstairs, Carstairs Junction and Carnwath - 03",Data Zones
S01012581,"Carstairs, Carstairs Junction and Carnwath - 01",Data Zones
S01012601,Carluke West - 04,Data Zones
S01012602,Carluke North - 01,Data Zones
S01012599,Carluke West - 02,Data Zones
S01012600,Carluke West - 03,Data Zones
S01012604,Carluke North - 03,Data Zones
S01012605,Carluke North - 04,Data Zones
S01012603,Carluke North - 02,Data Zones
S01012594,Law - 03,Data Zones
S01012595,Law - 04,Data Zones
S01012592,Law - 01,Data Zones
S01012593,Law - 02,Data Zones
S01012597,Law - 06,Data Zones
S01012598,Carluke West - 01,Data Zones
S01012596,Law - 05,Data Zones
S01012925,St Leonards South - 03,Data Zones
S01012926,St Leonards South - 04,Data Zones
S01012923,St Leonards South - 01,Data Zones
S01012924,St Leonards South - 02,Data Zones
S01012929,St Leonards South - 07,Data Zones
S01012930,East Mains - 01,Data Zones
S01012927,St Leonards South - 05,Data Zones
S01012928,St Leonards South - 06,Data Zones
S01012918,St Leonards North - 03,Data Zones
S01012919,St Leonards North - 04,Data Zones
S01012916,St Leonards North - 01,Data Zones
S01012917,St Leonards North - 02,Data Zones
S01012921,St Leonards North - 06,Data Zones
S01012922,St Leonards North - 07,Data Zones
S01012920,St Leonards North - 05,Data Zones
S01012940,Stewartfield East - 03,Data Zones
S01012941,Stewartfield East - 04,Data Zones
S01012938,Stewartfield East - 01,Data Zones
S01012939,Stewartfield East - 02,Data Zones
S01012944,Stewartfield West - 03,Data Zones
S01012945,Stewartfield West - 04,Data Zones
S01012942,Stewartfield West - 01,Data Zones
S01012943,Stewartfield West - 02,Data Zones
S01012933,East Mains - 04,Data Zones
S01012934,West Mains - 01,Data Zones
S01012931,East Mains - 02,Data Zones
S01012932,East Mains - 03,Data Zones
S01012936,West Mains - 03,Data Zones
S01012937,West Mains - 04,Data Zones
S01012935,West Mains - 02,Data Zones
S01012895,Nerston and EK Landward Area - 02,Data Zones
S01012896,Nerston and EK Landward Area - 03,Data Zones
S01012893,Fernhill and Cathkin - 05,Data Zones
S01012894,Nerston and EK Landward Area - 01,Data Zones
S01012900,Nerston and EK Landward Area - 07,Data Zones
S01012901,Calderwood East - 01,Data Zones
S01012897,Nerston and EK Landward Area - 04,Data Zones
S01012898,Nerston and EK Landward Area - 05,Data Zones
S01012888,Burnside and Springhall - 07,Data Zones
S01012889,Fernhill and Cathkin - 01,Data Zones
