AreaCode,AreaName,AreaType
S01008430,Currie East - 02,Data Zones
S01008431,Currie East - 03,Data Zones
S01008435,Baberton and Juniper Green - 03,Data Zones
S01008436,Baberton and Juniper Green - 04,Data Zones
S01008434,Baberton and Juniper Green - 02,Data Zones
S01008456,The Calders - 03,Data Zones
S01008457,The Calders - 04,Data Zones
S01008453,Clovenstone and Wester Hailes - 05,Data Zones
S01008455,The Calders - 02,Data Zones
S01008460,Murrayburn and Wester Hailes North - 02,Data Zones
S01008461,Murrayburn and Wester Hailes North - 03,Data Zones
S01008458,The Calders - 05,Data Zones
S01008459,Murrayburn and Wester Hailes North - 01,Data Zones
S01008447,Colinton and Kingsknowe - 04,Data Zones
S01008448,Colinton and Kingsknowe - 05,Data Zones
S01008445,Colinton and Kingsknowe - 02,Data Zones
S01008446,Colinton and Kingsknowe - 03,Data Zones
S01008450,Clovenstone and Wester Hailes - 02,Data Zones
S01008451,Clovenstone and Wester Hailes - 03,Data Zones
S01008449,Clovenstone and Wester Hailes - 01,Data Zones
S01008408,North Giffnock and North Thornliebank - 03,Data Zones
S01008409,North Giffnock and North Thornliebank - 04,Data Zones
S01008406,North Giffnock and North Thornliebank - 01,Data Zones
S01008407,North Giffnock and North Thornliebank - 02,Data Zones
S01008412,South Thornliebank and Woodfarm - 02,Data Zones
S01008413,South Thornliebank and Woodfarm - 03,Data Zones
S01008410,North Giffnock and North Thornliebank - 05,Data Zones
S01008411,South Thornliebank and Woodfarm - 01,Data Zones
S01008401,Merrylee and Braidbar - 07,Data Zones
S01008402,Lower Whitecraigs and South Giffnock - 01,Data Zones
S01008399,Merrylee and Braidbar - 05,Data Zones
S01008400,Merrylee and Braidbar - 06,Data Zones
S01008404,Lower Whitecraigs and South Giffnock - 03,Data Zones
S01008405,Lower Whitecraigs and South Giffnock - 04,Data Zones
S01008403,Lower Whitecraigs and South Giffnock - 02,Data Zones
S01008425,Currie West - 01,Data Zones
S01008426,Currie West - 02,Data Zones
S01008423,Balerno and Bonnington Village - 07,Data Zones
S01008424,Balerno and Bonnington Village - 08,Data Zones
S01008428,Currie West - 04,Data Zones
S01008429,Currie East - 01,Data Zones
S01008427,Currie West - 03,Data Zones
S01008417,Balerno and Bonnington Village - 01,Data Zones
S01008418,Balerno and Bonnington Village - 02,Data Zones
S01008415,South Thornliebank and Woodfarm - 05,Data Zones
S01008416,South Thornliebank and Woodfarm - 06,Data Zones
S01008421,Balerno and Bonnington Village - 05,Data Zones
S01008422,Balerno and Bonnington Village - 06,Data Zones
S01008420,Balerno and Bonnington Village - 04,Data Zones
